,date,value
2052,1973-07-25,23.4
2054,1973-07-25,23.4
4043,1973-07-25,22.4
2057,1973-07-25,23.4
2058,1973-07-25,23.4
2062,1973-07-25,23.4
4014,1973-07-25,22.4
4015,1973-07-25,22.4
4040,1973-07-25,22.4
2069,1973-07-25,23.4
2070,1973-07-25,23.4
4039,1973-07-25,22.4
2072,1973-07-25,23.4
2131,1973-07-25,23.5
2074,1973-07-25,23.4
4017,1973-07-25,22.4
4019,1973-07-25,22.4
4020,1973-07-25,22.4
2079,1973-07-25,23.4
4024,1973-07-25,22.4
4995,1973-07-25,23.5
4025,1973-07-25,22.4
4030,1973-07-25,22.4
4032,1973-07-25,22.4
4034,1973-07-25,22.4
3450,1973-07-25,20.8
4009,1973-07-25,22.4
2148,1973-07-25,23.5
4006,1973-07-25,22.4
3965,1973-07-25,22.4
3966,1973-07-25,22.4
1955,1973-07-25,23.2
3969,1973-07-25,22.4
1959,1973-07-25,23.2
1964,1973-07-25,23.2
1965,1973-07-25,23.2
1966,1973-07-25,23.2
1967,1973-07-25,23.2
1968,1973-07-25,23.2
1969,1973-07-25,23.2
1970,1973-07-25,23.2
4078,1973-07-25,22.5
3961,1973-07-25,22.4
1972,1973-07-25,23.2
1974,1973-07-25,23.2
4077,1973-07-25,22.5
4076,1973-07-25,22.5
3981,1973-07-25,22.4
3992,1973-07-25,22.4
3993,1973-07-25,22.4
3994,1973-07-25,22.4
4002,1973-07-25,22.4
4003,1973-07-25,22.4
1324,1973-07-25,22.5
4052,1973-07-25,22.4
4050,1973-07-25,22.4
4005,1973-07-25,22.4
1973,1973-07-25,23.2
3774,1973-07-25,22.0
3878,1973-07-25,22.2
3875,1973-07-25,22.2
3814,1973-07-25,22.0
3815,1973-07-25,22.0
3816,1973-07-25,22.0
4172,1973-07-25,22.5
2486,1973-07-25,24.0
1582,1973-07-25,22.8
2483,1973-07-25,24.0
2482,1973-07-25,24.0
3396,1973-07-25,20.0
4171,1973-07-25,22.5
2481,1973-07-25,24.0
1601,1973-07-25,22.8
3817,1973-07-25,22.0
1604,1973-07-25,22.8
3408,1973-07-25,20.2
3413,1973-07-25,20.2
1610,1973-07-25,22.8
3818,1973-07-25,22.0
3426,1973-07-25,20.5
1614,1973-07-25,22.8
3427,1973-07-25,20.5
3428,1973-07-25,20.5
3429,1973-07-25,20.5
1618,1973-07-25,22.8
3819,1973-07-25,22.0
3820,1973-07-25,22.0
1623,1973-07-25,22.9
1570,1973-07-25,22.8
3813,1973-07-25,22.0
1569,1973-07-25,22.8
3812,1973-07-25,22.0
3775,1973-07-25,22.0
3776,1973-07-25,22.0
3777,1973-07-25,22.0
3778,1973-07-25,22.0
1521,1973-07-25,22.6
1522,1973-07-25,22.6
4177,1973-07-25,22.5
3779,1973-07-25,22.0
3782,1973-07-25,22.0
3783,1973-07-25,22.0
3784,1973-07-25,22.0
4176,1973-07-25,22.5
3792,1973-07-25,22.0
4170,1973-07-25,22.5
3793,1973-07-25,22.0
1544,1973-07-25,22.6
1545,1973-07-25,22.7
1546,1973-07-25,22.7
4175,1973-07-25,22.5
3394,1973-07-25,20.0
3395,1973-07-25,20.0
1559,1973-07-25,22.8
1561,1973-07-25,22.8
1562,1973-07-25,22.8
1564,1973-07-25,22.8
4174,1973-07-25,22.5
1567,1973-07-25,22.8
1568,1973-07-25,22.8
3794,1973-07-25,22.0
3876,1973-07-25,22.2
3821,1973-07-25,22.0
3840,1973-07-25,22.2
4166,1973-07-25,22.5
1697,1973-07-25,23.0
1698,1973-07-25,23.0
1699,1973-07-25,23.0
1701,1973-07-25,23.0
1702,1973-07-25,23.0
1703,1973-07-25,23.0
1704,1973-07-25,23.0
1706,1973-07-25,23.0
1707,1973-07-25,23.0
1708,1973-07-25,23.0
1709,1973-07-25,23.0
1710,1973-07-25,23.0
3864,1973-07-25,22.2
3868,1973-07-25,22.2
3869,1973-07-25,22.2
1734,1973-07-25,23.0
4164,1973-07-25,22.5
4163,1973-07-25,22.5
4162,1973-07-25,22.5
4161,1973-07-25,22.5
4159,1973-07-25,22.5
4157,1973-07-25,22.5
4156,1973-07-25,22.5
4155,1973-07-25,22.5
3872,1973-07-25,22.2
2380,1973-07-25,23.8
3863,1973-07-25,22.2
3862,1973-07-25,22.2
3458,1973-07-25,21.0
3459,1973-07-25,21.0
3846,1973-07-25,22.2
3468,1973-07-25,21.0
3852,1973-07-25,22.2
3854,1973-07-25,22.2
3463,1973-07-25,21.0
3855,1973-07-25,22.2
3857,1973-07-25,22.2
3859,1973-07-25,22.2
1638,1973-07-25,23.0
1639,1973-07-25,23.0
1640,1973-07-25,23.0
1641,1973-07-25,23.0
3462,1973-07-25,21.0
4169,1973-07-25,22.5
3461,1973-07-25,21.0
1650,1973-07-25,23.0
1651,1973-07-25,23.0
1654,1973-07-25,23.0
1655,1973-07-25,23.0
1656,1973-07-25,23.0
1657,1973-07-25,23.0
4167,1973-07-25,22.5
1659,1973-07-25,23.0
1660,1973-07-25,23.0
1661,1973-07-25,23.0
1663,1973-07-25,23.0
1664,1973-07-25,23.0
3460,1973-07-25,21.0
4168,1973-07-25,22.5
1323,1973-07-25,22.5
1565,1973-07-25,22.8
1321,1973-07-25,22.5
851,1973-07-25,22.0
852,1973-07-25,22.0
853,1973-07-25,22.0
854,1973-07-25,22.0
875,1973-07-25,22.0
876,1973-07-25,22.0
877,1973-07-25,22.0
878,1973-07-25,22.0
879,1973-07-25,22.0
880,1973-07-25,22.0
881,1973-07-25,22.0
882,1973-07-25,22.0
850,1973-07-25,22.0
883,1973-07-25,22.0
885,1973-07-25,22.0
886,1973-07-25,22.0
887,1973-07-25,22.0
888,1973-07-25,22.0
889,1973-07-25,22.0
4697,1973-07-25,23.0
4698,1973-07-25,23.0
4699,1973-07-25,23.0
4700,1973-07-25,23.0
4701,1973-07-25,23.0
4702,1973-07-25,23.0
4703,1973-07-25,23.0
884,1973-07-25,22.0
849,1973-07-25,22.0
848,1973-07-25,22.0
846,1973-07-25,22.0
4221,1973-07-25,22.5
820,1973-07-25,22.0
821,1973-07-25,22.0
822,1973-07-25,22.0
823,1973-07-25,22.0
824,1973-07-25,22.0
825,1973-07-25,22.0
826,1973-07-25,22.0
827,1973-07-25,22.0
828,1973-07-25,22.0
829,1973-07-25,22.0
830,1973-07-25,22.0
831,1973-07-25,22.0
832,1973-07-25,22.0
833,1973-07-25,22.0
834,1973-07-25,22.0
835,1973-07-25,22.0
836,1973-07-25,22.0
837,1973-07-25,22.0
838,1973-07-25,22.0
839,1973-07-25,22.0
840,1973-07-25,22.0
841,1973-07-25,22.0
842,1973-07-25,22.0
843,1973-07-25,22.0
844,1973-07-25,22.0
845,1973-07-25,22.0
4704,1973-07-25,23.0
4222,1973-07-25,22.5
4705,1973-07-25,23.0
4708,1973-07-25,23.0
979,1973-07-25,22.0
980,1973-07-25,22.0
981,1973-07-25,22.0
982,1973-07-25,22.0
983,1973-07-25,22.0
984,1973-07-25,22.0
985,1973-07-25,22.0
986,1973-07-25,22.0
987,1973-07-25,22.0
988,1973-07-25,22.0
989,1973-07-25,22.0
4218,1973-07-25,22.5
978,1973-07-25,22.0
4217,1973-07-25,22.5
4213,1973-07-25,22.5
4211,1973-07-25,22.5
4210,1973-07-25,22.5
4208,1973-07-25,22.5
4207,1973-07-25,22.5
4206,1973-07-25,22.5
1007,1973-07-25,22.2
1009,1973-07-25,22.2
1010,1973-07-25,22.2
1011,1973-07-25,22.2
1014,1973-07-25,22.2
1016,1973-07-25,22.2
4216,1973-07-25,22.5
977,1973-07-25,22.0
976,1973-07-25,22.0
975,1973-07-25,22.0
4709,1973-07-25,23.0
4710,1973-07-25,23.0
4711,1973-07-25,23.0
4712,1973-07-25,23.0
4745,1973-07-25,23.1
4746,1973-07-25,23.1
4772,1973-07-25,23.1
4786,1973-07-25,23.2
931,1973-07-25,22.0
932,1973-07-25,22.0
4788,1973-07-25,23.2
933,1973-07-25,22.0
934,1973-07-25,22.0
4220,1973-07-25,22.5
4219,1973-07-25,22.5
938,1973-07-25,22.0
939,1973-07-25,22.0
940,1973-07-25,22.0
4791,1973-07-25,23.2
941,1973-07-25,22.0
944,1973-07-25,22.0
945,1973-07-25,22.0
970,1973-07-25,22.0
971,1973-07-25,22.0
972,1973-07-25,22.0
973,1973-07-25,22.0
974,1973-07-25,22.0
4707,1973-07-25,23.0
1019,1973-07-25,22.2
4223,1973-07-25,22.5
4224,1973-07-25,22.5
4500,1973-07-25,22.8
4303,1973-07-25,22.6
4298,1973-07-25,22.6
592,1973-07-25,21.0
593,1973-07-25,21.0
594,1973-07-25,21.0
595,1973-07-25,21.0
596,1973-07-25,21.0
597,1973-07-25,21.0
598,1973-07-25,21.0
600,1973-07-25,21.0
601,1973-07-25,21.0
4497,1973-07-25,22.8
4525,1973-07-25,23.0
4528,1973-07-25,23.0
4529,1973-07-25,23.0
4530,1973-07-25,23.0
602,1973-07-25,21.0
4294,1973-07-25,22.6
4531,1973-07-25,23.0
4536,1973-07-25,23.0
4538,1973-07-25,23.0
4540,1973-07-25,23.0
4293,1973-07-25,22.6
5319,1973-07-25,24.0
4286,1973-07-25,22.5
4527,1973-07-25,23.0
4309,1973-07-25,22.6
4318,1973-07-25,22.6
4489,1973-07-25,22.8
4399,1973-07-25,22.6
4377,1973-07-25,22.6
4375,1973-07-25,22.6
4364,1973-07-25,22.6
4433,1973-07-25,22.8
4356,1973-07-25,22.6
4434,1973-07-25,22.8
4354,1973-07-25,22.6
4439,1973-07-25,22.8
4344,1973-07-25,22.6
533,1973-07-25,20.2
4441,1973-07-25,22.8
4442,1973-07-25,22.8
1322,1973-07-25,22.5
5315,1973-07-25,24.0
550,1973-07-25,20.5
551,1973-07-25,20.5
4444,1973-07-25,22.8
4445,1973-07-25,22.8
4446,1973-07-25,22.8
4448,1973-07-25,22.8
5316,1973-07-25,24.0
552,1973-07-25,20.5
5317,1973-07-25,24.0
4327,1973-07-25,22.6
4458,1973-07-25,22.8
4481,1973-07-25,22.8
4280,1973-07-25,22.5
5389,1973-07-25,24.2
4273,1973-07-25,22.5
4264,1973-07-25,22.5
4571,1973-07-25,23.0
4572,1973-07-25,23.0
4574,1973-07-25,23.0
4575,1973-07-25,23.0
4576,1973-07-25,23.0
4595,1973-07-25,23.0
4596,1973-07-25,23.0
754,1973-07-25,21.8
755,1973-07-25,21.8
756,1973-07-25,21.8
4237,1973-07-25,22.5
759,1973-07-25,21.8
4570,1973-07-25,23.0
4236,1973-07-25,22.5
4233,1973-07-25,22.5
763,1973-07-25,21.8
4232,1973-07-25,22.5
4231,1973-07-25,22.5
767,1973-07-25,21.8
770,1973-07-25,21.8
771,1973-07-25,21.8
4230,1973-07-25,22.5
774,1973-07-25,21.8
4229,1973-07-25,22.5
4227,1973-07-25,22.5
4225,1973-07-25,22.5
4235,1973-07-25,22.5
4569,1973-07-25,23.0
4568,1973-07-25,23.0
4567,1973-07-25,23.0
655,1973-07-25,21.2
658,1973-07-25,21.2
659,1973-07-25,21.2
660,1973-07-25,21.2
661,1973-07-25,21.2
662,1973-07-25,21.2
663,1973-07-25,21.2
665,1973-07-25,21.2
666,1973-07-25,21.2
669,1973-07-25,21.2
4257,1973-07-25,22.5
673,1973-07-25,21.2
674,1973-07-25,21.2
677,1973-07-25,21.3
4253,1973-07-25,22.5
4250,1973-07-25,22.5
4248,1973-07-25,22.5
693,1973-07-25,21.5
4246,1973-07-25,22.5
706,1973-07-25,21.5
710,1973-07-25,21.5
715,1973-07-25,21.5
720,1973-07-25,21.5
728,1973-07-25,21.5
731,1973-07-25,21.5
741,1973-07-25,21.5
4566,1973-07-25,23.0
4272,1973-07-25,22.5
1022,1973-07-25,22.2
847,1973-07-25,22.0
1095,1973-07-25,22.3
1164,1973-07-25,22.4
1296,1973-07-25,22.5
1293,1973-07-25,22.5
1072,1973-07-25,22.2
1290,1973-07-25,22.5
1073,1973-07-25,22.2
1165,1973-07-25,22.4
1158,1973-07-25,22.4
1075,1973-07-25,22.2
1280,1973-07-25,22.5
1076,1973-07-25,22.2
4203,1973-07-25,22.5
4197,1973-07-25,22.5
1078,1973-07-25,22.2
1074,1973-07-25,22.2
1297,1973-07-25,22.5
4191,1973-07-25,22.5
4196,1973-07-25,22.5
1177,1973-07-25,22.4
1061,1973-07-25,22.2
1307,1973-07-25,22.5
1306,1973-07-25,22.5
1305,1973-07-25,22.5
1067,1973-07-25,22.2
1069,1973-07-25,22.2
1070,1973-07-25,22.2
1304,1973-07-25,22.5
1303,1973-07-25,22.5
1301,1973-07-25,22.5
1172,1973-07-25,22.4
1171,1973-07-25,22.4
4189,1973-07-25,22.5
1299,1973-07-25,22.5
1079,1973-07-25,22.2
1081,1973-07-25,22.2
1149,1973-07-25,22.4
1147,1973-07-25,22.4
1265,1973-07-25,22.5
1260,1973-07-25,22.5
1113,1973-07-25,22.3
1258,1973-07-25,22.5
4199,1973-07-25,22.5
4198,1973-07-25,22.5
1125,1973-07-25,22.4
1126,1973-07-25,22.4
1127,1973-07-25,22.4
1131,1973-07-25,22.4
1247,1973-07-25,22.5
1245,1973-07-25,22.5
1240,1973-07-25,22.5
1239,1973-07-25,22.5
1235,1973-07-25,22.5
4200,1973-07-25,22.5
1178,1973-07-25,22.4
1132,1973-07-25,22.4
1270,1973-07-25,22.5
1279,1973-07-25,22.5
4192,1973-07-25,22.5
1278,1973-07-25,22.5
1083,1973-07-25,22.2
1142,1973-07-25,22.4
4202,1973-07-25,22.5
1277,1973-07-25,22.5
1092,1973-07-25,22.3
1276,1973-07-25,22.5
1140,1973-07-25,22.4
1273,1973-07-25,22.5
1139,1973-07-25,22.4
1136,1973-07-25,22.4
1134,1973-07-25,22.4
1133,1973-07-25,22.4
4201,1973-07-25,22.5
1308,1973-07-25,22.5
1298,1973-07-25,22.5
1179,1973-07-25,22.4
4205,1973-07-25,22.5
4204,1973-07-25,22.5
1312,1973-07-25,22.5
1313,1973-07-25,22.5
1054,1973-07-25,22.2
1314,1973-07-25,22.5
4195,1973-07-25,22.5
1315,1973-07-25,22.5
1049,1973-07-25,22.2
1320,1973-07-25,22.5
1048,1973-07-25,22.2
1319,1973-07-25,22.5
1045,1973-07-25,22.2
1194,1973-07-25,22.4
1034,1973-07-25,22.2
1318,1973-07-25,22.5
1036,1973-07-25,22.2
1309,1973-07-25,22.5
1316,1973-07-25,22.5
1189,1973-07-25,22.4
1046,1973-07-25,22.2
1026,1973-07-25,22.2
1191,1973-07-25,22.4
1311,1973-07-25,22.5
1182,1973-07-25,22.4
4194,1973-07-25,22.5
1060,1973-07-25,22.2
1181,1973-07-25,22.4
704,1973-07-26,21.5
709,1973-07-26,21.5
708,1973-07-26,21.5
692,1973-07-26,21.5
4276,1973-07-26,22.5
4277,1973-07-26,22.5
3752,1973-07-26,22.0
4278,1973-07-26,22.5
632,1973-07-26,21.0
631,1973-07-26,21.0
4279,1973-07-26,22.5
707,1973-07-26,21.5
1378,1973-07-26,22.5
637,1973-07-26,21.0
1382,1973-07-26,22.5
1199,1973-07-26,22.4
3795,1973-07-26,22.0
3796,1973-07-26,22.0
2065,1973-07-26,23.4
690,1973-07-26,21.5
3753,1973-07-26,22.0
3797,1973-07-26,22.0
688,1973-07-26,21.5
4033,1973-07-26,22.4
4271,1973-07-26,22.5
4269,1973-07-26,22.5
4075,1973-07-26,22.5
1381,1973-07-26,22.5
1202,1973-07-26,22.4
628,1973-07-26,21.0
3785,1973-07-26,22.0
4555,1973-07-26,23.0
2083,1973-07-26,23.4
3786,1973-07-26,22.0
703,1973-07-26,21.5
702,1973-07-26,21.5
701,1973-07-26,21.5
700,1973-07-26,21.5
699,1973-07-26,21.5
1201,1973-07-26,22.4
4553,1973-07-26,23.0
4035,1973-07-26,22.4
4037,1973-07-26,22.4
4552,1973-07-26,23.0
696,1973-07-26,21.5
4551,1973-07-26,23.0
4557,1973-07-26,23.0
624,1973-07-26,21.0
694,1973-07-26,21.5
4549,1973-07-26,23.0
4556,1973-07-26,23.0
4548,1973-07-26,23.0
705,1973-07-26,21.5
1379,1973-07-26,22.5
3751,1973-07-26,22.0
626,1973-07-26,21.0
1380,1973-07-26,22.5
4036,1973-07-26,22.4
4268,1973-07-26,22.5
3754,1973-07-26,22.0
2006,1973-07-26,23.2
4259,1973-07-26,22.5
4060,1973-07-26,22.5
3760,1973-07-26,22.0
3759,1973-07-26,22.0
1205,1973-07-26,22.5
4062,1973-07-26,22.5
1391,1973-07-26,22.5
2002,1973-07-26,23.2
2001,1973-07-26,23.2
1206,1973-07-26,22.5
3767,1973-07-26,22.0
3758,1973-07-26,22.0
4056,1973-07-26,22.5
4069,1973-07-26,22.5
3768,1973-07-26,22.0
4258,1973-07-26,22.5
4068,1973-07-26,22.5
3762,1973-07-26,22.0
1397,1973-07-26,22.5
3761,1973-07-26,22.0
3763,1973-07-26,22.0
1396,1973-07-26,22.5
3764,1973-07-26,22.0
1394,1973-07-26,22.5
3765,1973-07-26,22.0
2018,1973-07-26,23.2
1395,1973-07-26,22.5
4063,1973-07-26,22.5
2009,1973-07-26,23.2
3766,1973-07-26,22.0
4256,1973-07-26,22.5
2017,1973-07-26,23.2
3769,1973-07-26,22.0
3770,1973-07-26,22.0
3757,1973-07-26,22.0
4255,1973-07-26,22.5
4254,1973-07-26,22.5
4044,1973-07-26,22.4
4265,1973-07-26,22.5
4558,1973-07-26,23.0
4266,1973-07-26,22.5
1216,1973-07-26,22.5
4267,1973-07-26,22.5
3755,1973-07-26,22.0
1400,1973-07-26,22.5
2059,1973-07-26,23.4
4042,1973-07-26,22.4
686,1973-07-26,21.5
4073,1973-07-26,22.5
1399,1973-07-26,22.5
2051,1973-07-26,23.4
4262,1973-07-26,22.5
4046,1973-07-26,22.4
3771,1973-07-26,22.0
3772,1973-07-26,22.0
4894,1973-07-26,23.3
4561,1973-07-26,23.0
3756,1973-07-26,22.0
1388,1973-07-26,22.5
1203,1973-07-26,22.4
1387,1973-07-26,22.5
4051,1973-07-26,22.4
1386,1973-07-26,22.5
1385,1973-07-26,22.5
4559,1973-07-26,23.0
4049,1973-07-26,22.4
4260,1973-07-26,22.5
4261,1973-07-26,22.5
1401,1973-07-26,22.5
3798,1973-07-26,22.0
4911,1973-07-26,23.4
1375,1973-07-26,22.5
3968,1973-07-26,22.4
3967,1973-07-26,22.4
4343,1973-07-26,22.6
3963,1973-07-26,22.4
3962,1973-07-26,22.4
4345,1973-07-26,22.6
3960,1973-07-26,22.4
4342,1973-07-26,22.6
3959,1973-07-26,22.4
4347,1973-07-26,22.6
4350,1973-07-26,22.6
3956,1973-07-26,22.4
3955,1973-07-26,22.4
4352,1973-07-26,22.6
4435,1973-07-26,22.8
3952,1973-07-26,22.4
5314,1973-07-26,24.0
4353,1973-07-26,22.6
3970,1973-07-26,22.4
3972,1973-07-26,22.4
2363,1973-07-26,23.6
3985,1973-07-26,22.4
2360,1973-07-26,23.6
2359,1973-07-26,23.6
4443,1973-07-26,22.8
2354,1973-07-26,23.6
4330,1973-07-26,22.6
3971,1973-07-26,22.4
2353,1973-07-26,23.6
3979,1973-07-26,22.4
3978,1973-07-26,22.4
3977,1973-07-26,22.4
4340,1973-07-26,22.6
3975,1973-07-26,22.4
3974,1973-07-26,22.4
3973,1973-07-26,22.4
3980,1973-07-26,22.4
3986,1973-07-26,22.4
4355,1973-07-26,22.6
4361,1973-07-26,22.6
4385,1973-07-26,22.6
4416,1973-07-26,22.6
3917,1973-07-26,22.2
4391,1973-07-26,22.6
3915,1973-07-26,22.2
3914,1973-07-26,22.2
4415,1973-07-26,22.6
3893,1973-07-26,22.2
3896,1973-07-26,22.2
4413,1973-07-26,22.6
4406,1973-07-26,22.6
4407,1973-07-26,22.6
4408,1973-07-26,22.6
4409,1973-07-26,22.6
3904,1973-07-26,22.2
3903,1973-07-26,22.2
4398,1973-07-26,22.6
4358,1973-07-26,22.6
4417,1973-07-26,22.6
4378,1973-07-26,22.6
4432,1973-07-26,22.8
4430,1973-07-26,22.6
4362,1973-07-26,22.6
4363,1973-07-26,22.6
3940,1973-07-26,22.3
4365,1973-07-26,22.6
3936,1973-07-26,22.3
4379,1973-07-26,22.6
4366,1973-07-26,22.6
4369,1973-07-26,22.6
4370,1973-07-26,22.6
4373,1973-07-26,22.6
4421,1973-07-26,22.6
4420,1973-07-26,22.6
4419,1973-07-26,22.6
4376,1973-07-26,22.6
4367,1973-07-26,22.6
3987,1973-07-26,22.4
3988,1973-07-26,22.4
3989,1973-07-26,22.4
1358,1973-07-26,22.5
3834,1973-07-26,22.1
3836,1973-07-26,22.1
1357,1973-07-26,22.5
3837,1973-07-26,22.1
4013,1973-07-26,22.4
1271,1973-07-26,22.5
3833,1973-07-26,22.1
4011,1973-07-26,22.4
4010,1973-07-26,22.4
4305,1973-07-26,22.6
4008,1973-07-26,22.4
4502,1973-07-26,22.8
4306,1973-07-26,22.6
4007,1973-07-26,22.4
4307,1973-07-26,22.6
3838,1973-07-26,22.1
4308,1973-07-26,22.6
711,1973-07-26,21.5
1360,1973-07-26,22.5
1374,1973-07-26,22.5
1373,1973-07-26,22.5
1232,1973-07-26,22.5
4029,1973-07-26,22.4
2480,1973-07-26,24.0
4028,1973-07-26,22.4
1255,1973-07-26,22.5
4016,1973-07-26,22.4
2479,1973-07-26,24.0
4026,1973-07-26,22.4
1257,1973-07-26,22.5
4295,1973-07-26,22.6
4023,1973-07-26,22.4
4022,1973-07-26,22.4
4021,1973-07-26,22.4
1266,1973-07-26,22.5
3832,1973-07-26,22.1
4004,1973-07-26,22.4
4317,1973-07-26,22.6
3845,1973-07-26,22.2
4460,1973-07-26,22.8
4459,1973-07-26,22.8
3995,1973-07-26,22.4
2385,1973-07-26,23.8
1282,1973-07-26,22.5
4457,1973-07-26,22.8
4456,1973-07-26,22.8
4461,1973-07-26,22.8
4887,1973-07-26,23.2
3877,1973-07-26,22.2
4452,1973-07-26,22.8
4451,1973-07-26,22.8
3991,1973-07-26,22.4
3879,1973-07-26,22.2
3990,1973-07-26,22.4
2368,1973-07-26,23.6
4454,1973-07-26,22.8
4464,1973-07-26,22.8
3996,1973-07-26,22.4
4465,1973-07-26,22.8
2430,1973-07-26,23.8
3847,1973-07-26,22.2
4490,1973-07-26,22.8
3849,1973-07-26,22.2
4488,1973-07-26,22.8
4487,1973-07-26,22.8
4485,1973-07-26,22.8
4000,1973-07-26,22.4
4484,1973-07-26,22.8
3858,1973-07-26,22.2
3999,1973-07-26,22.4
3860,1973-07-26,22.2
3861,1973-07-26,22.2
4469,1973-07-26,22.8
4467,1973-07-26,22.8
3867,1973-07-26,22.2
4466,1973-07-26,22.8
1377,1973-07-26,22.5
3750,1973-07-26,22.0
3743,1973-07-26,22.0
712,1973-07-26,21.5
920,1973-07-26,22.0
919,1973-07-26,22.0
918,1973-07-26,22.0
917,1973-07-26,22.0
916,1973-07-26,22.0
915,1973-07-26,22.0
914,1973-07-26,22.0
921,1973-07-26,22.0
913,1973-07-26,22.0
911,1973-07-26,22.0
910,1973-07-26,22.0
909,1973-07-26,22.0
1713,1973-07-26,23.0
1714,1973-07-26,23.0
1715,1973-07-26,23.0
1716,1973-07-26,23.0
912,1973-07-26,22.0
922,1973-07-26,22.0
923,1973-07-26,22.0
924,1973-07-26,22.0
1674,1973-07-26,23.0
4783,1973-07-26,23.2
4782,1973-07-26,23.2
1677,1973-07-26,23.0
1678,1973-07-26,23.0
1679,1973-07-26,23.0
1680,1973-07-26,23.0
4781,1973-07-26,23.2
4780,1973-07-26,23.2
1683,1973-07-26,23.0
1684,1973-07-26,23.0
4779,1973-07-26,23.2
4778,1973-07-26,23.2
928,1973-07-26,22.0
927,1973-07-26,22.0
926,1973-07-26,22.0
925,1973-07-26,22.0
1509,1973-07-26,22.6
1673,1973-07-26,23.0
1718,1973-07-26,23.0
1722,1973-07-26,23.0
3499,1973-07-26,21.0
897,1973-07-26,22.0
3501,1973-07-26,21.0
3503,1973-07-26,21.0
896,1973-07-26,22.0
3507,1973-07-26,21.0
895,1973-07-26,22.0
898,1973-07-26,22.0
894,1973-07-26,22.0
893,1973-07-26,22.0
3554,1973-07-26,21.5
892,1973-07-26,22.0
891,1973-07-26,22.0
890,1973-07-26,22.0
1493,1973-07-26,22.6
3555,1973-07-26,21.5
3749,1973-07-26,22.0
899,1973-07-26,22.0
3496,1973-07-26,21.0
3495,1973-07-26,21.0
1506,1973-07-26,22.6
908,1973-07-26,22.0
907,1973-07-26,22.0
906,1973-07-26,22.0
905,1973-07-26,22.0
904,1973-07-26,22.0
903,1973-07-26,22.0
3469,1973-07-26,21.0
902,1973-07-26,22.0
1082,1973-07-26,22.2
1500,1973-07-26,22.6
1084,1973-07-26,22.2
1497,1973-07-26,22.6
901,1973-07-26,22.0
900,1973-07-26,22.0
4691,1973-07-26,23.0
4690,1973-07-26,23.0
1721,1973-07-26,23.0
1672,1973-07-26,23.0
1671,1973-07-26,23.0
1670,1973-07-26,23.0
1592,1973-07-26,22.8
1557,1973-07-26,22.8
1005,1973-07-26,22.2
1555,1973-07-26,22.8
1000,1973-07-26,22.1
999,1973-07-26,22.1
1553,1973-07-26,22.8
1558,1973-07-26,22.8
4916,1973-07-26,23.4
4917,1973-07-26,23.4
1551,1973-07-26,22.8
1550,1973-07-26,22.8
1606,1973-07-26,22.8
1039,1973-07-26,22.2
1548,1973-07-26,22.8
1609,1973-07-26,22.8
4879,1973-07-26,23.2
1590,1973-07-26,22.8
1589,1973-07-26,22.8
1588,1973-07-26,22.8
1021,1973-07-26,22.2
1025,1973-07-26,22.2
4915,1973-07-26,23.4
4878,1973-07-26,23.2
1572,1973-07-26,22.8
1573,1973-07-26,22.8
1574,1973-07-26,22.8
1576,1973-07-26,22.8
1030,1973-07-26,22.2
1579,1973-07-26,22.8
1580,1973-07-26,22.8
1581,1973-07-26,22.8
1583,1973-07-26,22.8
1584,1973-07-26,22.8
1585,1973-07-26,22.8
1586,1973-07-26,22.8
1587,1973-07-26,22.8
1547,1973-07-26,22.7
1041,1973-07-26,22.2
1612,1973-07-26,22.8
1047,1973-07-26,22.2
1527,1973-07-26,22.6
4929,1973-07-26,23.4
4932,1973-07-26,23.4
943,1973-07-26,22.0
942,1973-07-26,22.0
1526,1973-07-26,22.6
1525,1973-07-26,22.6
1524,1973-07-26,22.6
1062,1973-07-26,22.2
937,1973-07-26,22.0
1063,1973-07-26,22.2
1520,1973-07-26,22.6
1519,1973-07-26,22.6
1064,1973-07-26,22.2
1065,1973-07-26,22.2
4842,1973-07-26,23.2
1669,1973-07-26,23.0
1528,1973-07-26,22.6
1107,1973-07-26,22.3
946,1973-07-26,22.0
948,1973-07-26,22.0
1541,1973-07-26,22.6
4921,1973-07-26,23.4
1052,1973-07-26,22.2
1537,1973-07-26,22.6
1056,1973-07-26,22.2
4923,1973-07-26,23.4
4864,1973-07-26,23.2
1535,1973-07-26,22.6
1057,1973-07-26,22.2
1059,1973-07-26,22.2
1531,1973-07-26,22.6
1530,1973-07-26,22.6
1529,1973-07-26,22.6
952,1973-07-26,22.0
951,1973-07-26,22.0
950,1973-07-26,22.0
949,1973-07-26,22.0
947,1973-07-26,22.0
1109,1973-07-26,22.3
3553,1973-07-26,21.5
1487,1973-07-26,22.6
3707,1973-07-26,22.0
3708,1973-07-26,22.0
1894,1973-07-26,23.2
1895,1973-07-26,23.2
1896,1973-07-26,23.2
1897,1973-07-26,23.2
1898,1973-07-26,23.2
1174,1973-07-26,22.4
1175,1973-07-26,22.4
1176,1973-07-26,22.4
3709,1973-07-26,22.0
758,1973-07-26,21.8
3710,1973-07-26,22.0
3711,1973-07-26,22.0
1180,1973-07-26,22.4
3712,1973-07-26,22.0
3713,1973-07-26,22.0
1891,1973-07-26,23.2
3714,1973-07-26,22.0
1890,1973-07-26,23.2
