date,value
9/17/74,18
9/19/74,18
9/19/74,18
9/19/74,18
9/19/74,18
9/17/74,18
9/17/74,18
9/17/74,18
9/17/74,18
9/17/74,18
9/17/74,18
9/18/74,18
9/17/74,18
9/17/74,18
9/18/74,18
9/18/74,18
9/18/74,18
9/18/74,18
9/18/74,18
9/18/74,18
9/18/74,18
9/18/74,18
9/18/74,18
6/22/82,18
6/22/78,18
6/22/78,18
6/22/78,18
6/22/78,18
6/22/78,18
6/22/78,18
6/22/78,18
6/22/78,18
6/22/78,18
6/22/78,18
6/22/78,18
6/22/78,18
6/22/78,18
6/22/78,18
6/6/78,18
9/18/74,18.1
9/17/74,18.1
9/17/74,18.1
9/19/74,18.1
9/19/74,18.1
9/19/74,18.1
9/17/74,18.1
9/17/74,18.1
6/22/78,18.1
6/15/16,18.1
9/17/74,18.2
6/22/78,18.2
6/6/78,18.2
9/17/74,18.2
9/18/74,18.2
9/19/74,18.2
9/19/74,18.2
9/17/74,18.2
9/18/74,18.2
9/18/74,18.2
9/18/74,18.2
6/22/78,18.2
9/17/74,18.2
9/17/74,18.2
6/6/78,18.3
9/19/74,18.3
9/19/74,18.3
9/17/74,18.3
9/19/74,18.3
9/17/74,18.4
6/17/96,18.4
9/13/99,18.4
8/17/92,18.4
9/17/74,18.5
9/17/74,18.5
6/22/82,18.5
7/7/75,18.5
6/6/78,18.5
6/6/78,18.5
6/6/78,18.5
9/19/74,18.5
6/6/78,18.5
6/6/78,18.5
9/17/74,18.6
6/22/82,18.6
7/19/11,18.6
8/29/77,18.7
6/6/78,18.7
9/17/74,18.8
9/19/74,18.8
10/12/82,18.8
9/17/74,18.8
9/17/74,18.8
9/23/14,18.8
7/7/82,18.9
9/17/79,18.9
6/6/78,19
6/6/78,19
6/6/78,19
6/6/78,19
6/6/78,19
6/6/78,19
6/6/78,19
6/6/78,19
9/17/74,19
9/17/74,19
9/17/74,19
9/17/74,19
9/17/74,19
9/17/74,19
9/17/74,19
6/17/82,19
7/21/82,19
6/22/82,19
6/6/78,19
7/7/82,19
9/18/07,19
9/15/09,19
6/12/79,19.1
6/6/78,19.1
6/6/78,19.1
6/23/03,19.1
7/15/93,19.1
7/7/82,19.1
6/6/78,19.2
6/6/78,19.2
7/7/82,19.2
7/7/82,19.2
9/24/82,19.2
9/24/82,19.2
6/22/82,19.2
7/7/82,19.2
7/7/82,19.2
7/7/82,19.2
9/17/74,19.2
9/2/08,19.2
9/13/94,19.3
9/13/94,19.3
9/13/94,19.3
6/6/78,19.3
6/6/78,19.3
7/7/82,19.3
6/22/82,19.4
6/6/78,19.4
7/29/82,19.5
9/16/82,19.5
7/24/73,19.5
9/13/94,19.5
9/13/94,19.5
7/7/82,19.5
9/24/82,19.5
9/24/82,19.5
9/24/82,19.5
8/5/82,19.6
9/13/94,19.6
7/29/82,19.6
7/29/82,19.6
7/29/82,19.6
9/17/74,19.7
9/13/94,19.7
9/6/11,19.8
8/13/82,19.8
7/24/73,19.8
7/7/82,19.8
10/12/82,19.8
8/13/82,19.8
7/24/73,19.8
8/13/82,19.8
8/13/82,19.8
7/15/82,19.9
7/15/82,19.9
9/9/74,19.9
7/15/82,19.9
9/17/74,19.9
7/15/82,19.9
9/21/15,20
6/17/82,20
7/15/82,20
6/6/78,20
6/6/78,20
6/6/78,20
6/22/82,20
8/5/82,20
7/24/73,20
7/24/73,20
7/24/73,20
7/24/73,20
7/24/73,20
7/24/73,20
7/24/73,20
6/22/82,20
7/7/82,20.1
7/7/82,20.1
5/13/87,20.1
8/14/75,20.1
8/13/82,20.2
7/15/82,20.2
7/24/73,20.2
8/13/82,20.2
7/15/82,20.2
8/13/82,20.2
7/25/73,20.2
8/24/88,20.2
7/24/73,20.2
8/13/82,20.2
9/10/74,20.2
8/19/82,20.3
8/13/82,20.3
8/19/82,20.3
8/21/78,20.4
6/29/82,20.4
7/24/73,20.4
8/19/82,20.4
7/15/82,20.5
8/20/82,20.5
8/20/82,20.5
8/20/82,20.5
10/12/82,20.5
7/25/73,20.5
7/25/73,20.5
7/25/73,20.5
7/24/73,20.5
7/24/73,20.5
7/24/73,20.5
7/24/73,20.5
7/24/73,20.5
7/24/73,20.5
6/22/82,20.5
6/22/82,20.5
7/29/82,20.5
7/29/82,20.5
9/15/82,20.5
7/8/19,20.6
7/20/10,20.6
8/18/09,20.6
9/10/96,20.6
10/12/82,20.6
8/20/79,20.7
7/21/82,20.7
8/28/96,20.7
6/29/82,20.7
7/24/73,20.8
9/15/82,20.8
9/15/82,20.8
9/15/82,20.8
10/12/82,20.8
6/17/82,20.8
6/29/82,20.8
7/24/73,20.8
6/29/82,20.8
6/29/82,20.8
7/21/82,20.8
6/29/82,20.8
9/10/03,20.8
7/8/96,20.8
7/24/12,20.9
8/25/98,20.9
6/29/82,20.9
7/21/82,20.9
7/21/82,20.9
7/25/73,21
7/25/73,21
7/25/73,21
7/25/73,21
7/25/73,21
7/25/73,21
7/25/73,21
7/29/82,21
7/25/73,21
7/25/73,21
7/25/73,21
7/21/82,21
7/24/81,21
7/21/82,21
7/24/73,21
7/24/73,21
7/24/73,21
7/24/73,21
7/24/73,21
7/24/73,21
7/24/73,21
7/24/73,21
7/24/73,21
7/24/73,21
7/24/73,21
7/24/73,21
8/5/93,21
6/29/82,21
7/21/82,21
8/5/93,21
7/21/82,21
9/15/82,21
7/26/73,21
6/17/82,21
7/26/73,21
6/29/82,21
7/26/73,21
7/21/82,21
7/29/82,21
7/26/73,21
7/26/73,21
6/29/82,21
6/29/82,21
6/29/82,21
8/20/82,21
7/26/73,21
10/12/82,21
10/12/82,21
10/12/82,21
9/10/74,21
7/12/12,21
8/5/93,21.1
8/5/93,21.1
8/19/82,21.1
7/20/82,21.1
8/5/93,21.1
9/24/82,21.1
8/5/93,21.1
8/5/93,21.1
8/5/93,21.1
8/5/93,21.1
7/24/73,21.2
7/7/09,21.2
7/25/73,21.2
7/24/73,21.2
7/24/73,21.2
7/25/73,21.2
7/25/73,21.2
7/25/73,21.2
7/25/73,21.2
7/25/73,21.2
7/25/73,21.2
7/24/73,21.2
7/25/73,21.2
7/25/73,21.2
7/20/82,21.2
6/29/82,21.2
7/25/73,21.2
7/31/86,21.2
7/24/73,21.2
7/24/73,21.2
7/25/73,21.2
7/25/73,21.2
7/20/16,21.2
7/20/82,21.3
7/25/73,21.3
7/30/76,21.3
8/15/80,21.3
6/29/82,21.3
8/5/93,21.4
7/20/82,21.4
7/10/18,21.5
9/24/82,21.5
7/24/73,21.5
7/26/73,21.5
6/29/82,21.5
7/26/73,21.5
7/24/73,21.5
7/26/73,21.5
7/24/73,21.5
7/26/73,21.5
7/25/73,21.5
7/26/73,21.5
7/24/73,21.5
7/26/73,21.5
7/20/82,21.5
8/7/74,21.5
7/26/73,21.5
7/26/73,21.5
7/26/73,21.5
7/26/73,21.5
7/26/73,21.5
7/26/73,21.5
7/26/73,21.5
7/25/73,21.5
7/26/73,21.5
7/26/73,21.5
7/26/73,21.5
7/25/73,21.5
7/26/73,21.5
7/26/73,21.5
8/27/82,21.5
7/26/73,21.5
7/25/73,21.5
7/26/73,21.5
7/24/73,21.5
7/24/73,21.5
7/26/73,21.5
7/25/73,21.5
7/26/73,21.5
7/24/73,21.5
